idaar,rd_dep.gf_melk,rd_bv.gf_melk
652005,2819,164517
652006,4781,159736
652007,4781,154955
652008,4781,150174
652009,4781,145393
652010,4781,140612
652011,4781,138027
652012,4844,133183
652013,4844,128339
652014,4844,123496
652015,4844,118652
652016,4844,113808
652017,4844,108964
652018,4844,104120
652019,4844,99277
652020,4844,94433
652021,4844,89589
652022,4844,84745
652023,4844,79902
652024,4844,75058
652025,4844,70214
652026,4844,65370
652027,4844,60526
652028,4844,55683
652029,4844,50839
652030,4844,45995
652031,4844,41151
652032,4844,36308
652033,4844,31464
652034,4844,26620
652035,4844,21776
652036,4844,16933
652037,4844,12089
652038,4844,7245
652039,4413,2832
652040,2456,376
652041,63,314
652042,63,251
652043,63,188
652044,63,125
652045,63,63
652046,63,0
