id.y,estimate,correst
72014,0.827190816,0.788651764
92014,0.761867523,0.740683675
142014,1,0.881620586
162014,0.458208054,0.445686281
182014,0.929571688,0.876778483
222014,0.780159295,0.732299209
322014,0.883326173,0.790822625
352014,0.841223776,0.799836218
372014,1,0.944195926
412014,0.675260365,0.649274349
422014,0.654762983,0.642144024
432014,0.620443046,0.60246408
452014,0.481972933,0.466892868
462014,0.533968031,0.516186833
522014,0.595576346,0.565079331
532014,0.826774836,0.801777303
552014,0.524622321,0.500834644
562014,0.680892885,0.654832006
622014,0.950101852,0.887300372
632014,0.756142795,0.739365399
652014,0.695291638,0.679142535
712014,0.696983993,0.67407918
722014,0.712471604,0.676478684
822014,0.789027274,0.72977078
842014,0.728266776,0.705566883
862014,0.818654299,0.791541457
882014,0.768814087,0.739026547
912014,0.802187443,0.760458469
932014,0.691964746,0.673914909
952014,0.960665226,0.933797717
962014,0.645765483,0.619138956
972014,0.595683575,0.578670919
1022014,0.80691421,0.762796044
1032014,0.730820239,0.673062027
1042014,0.767183602,0.744261622
1062014,0.586693466,0.567937672
1162014,0.627594948,0.608330548
1192014,0.921674907,0.874002516
1322014,1,0.90508467
1332014,0.975524008,0.899766743
1352014,0.959671378,0.919676423
1382014,0.672985733,0.613028169
1462014,0.705740333,0.691325963
1472014,0.656321228,0.624437451
1492014,0.843455851,0.815085948
1532014,0.808018982,0.785099506
1572014,0.877253711,0.815429688
1612014,0.772725999,0.743674457
1622014,0.634927571,0.607864618
1632014,0.830551386,0.793383479
1642014,0.611869454,0.564503253
1662014,0.735441029,0.694676697
1682014,0.658021569,0.626009166
1712014,0.630525112,0.57516402
1732014,0.954873681,0.936414003
1812014,0.468744338,0.45895046
1832014,0.647179008,0.628126025
1842014,0.686963618,0.653261125
1942014,0.667396963,0.637086034
1962014,0.589536548,0.571831167
1972014,0.631151378,0.608633995
2042014,0.610569179,0.591261506
2052014,0.687728465,0.654857576
2062014,0.664759755,0.637183249
2102014,0.593572378,0.552929163
2132014,0.753878117,0.726221681
2142014,0.653310359,0.614869058
2152014,0.862246931,0.820001483
2182014,0.482679218,0.455692291
2232014,0.603608608,0.591236472
2272014,0.909157932,0.888092399
2312014,1,0.884340048
2342014,0.508674145,0.49858737
2382014,0.736870527,0.706726134
2422014,0.574030399,0.555389702
2482014,0.694167256,0.655342639
2492014,0.696734488,0.672838509
2512014,0.785496175,0.759146333
2572014,0.717423677,0.69942832
2622014,0.89628917,0.855038703
2642014,0.671316147,0.635013521
2672014,0.570449233,0.55948019
2692014,0.586521506,0.570552528
2742014,0.708592951,0.67583257
2752014,0.874269605,0.836271167
2952014,0.837362528,0.813804209
3062014,0.78512013,0.751942039
3112014,0.740239501,0.723833978
3432014,0.805456579,0.736699104
3492014,0.53997612,0.52657187
3542014,0.536156595,0.526399791
3732014,0.643639386,0.61547333
4182014,0.585526824,0.561474443
4332014,0.805940151,0.791022956
4602014,0.636562288,0.609138727
4642014,0.713005066,0.697230041
4952014,0.695934594,0.676136971
5032014,0.70934844,0.680872858
5112014,0.90828383,0.84120208
5422014,0.821973205,0.793687165
5662014,0.747873783,0.718742847
5742014,0.853233397,0.819731534
5782014,0.687181115,0.674741209
5912014,0.729775548,0.707202911
5932014,0.619888663,0.603246868
5992014,0.57006228,0.554676592
6112014,0.854611695,0.804105222
6132014,0.842464864,0.811564982
6142014,0.986620426,0.905141294
6152014,0.848053575,0.765711665
6242014,0.823590398,0.791165888
6252014,0.618448138,0.598146856
6372014,0.599102736,0.578525901
6592014,0.79103744,0.766471326
6692014,0.826974869,0.783330381
6752014,0.922863483,0.836808205
6932014,0.720469117,0.681530714
6992014,1,0.940875471
7262014,0.786209345,0.768143654
