idaar,omraadepris_t2
72014,273.92
92014,273.92
102014,244.24
142014,243.16
162014,243.16
182014,273.92
222014,273.92
232014,243.16
322014,245.19
342014,273.92
352014,244.24
372014,245.19
412014,244.24
422014,273.92
432014,243.16
452014,243.16
462014,243.16
522014,244.24
532014,274.48
552014,243.16
562014,243.16
622014,245.19
632014,273.92
652014,273.92
712014,273.92
722014,274.48
822014,245.19
842014,245.19
862014,274.48
882014,244.24
912014,244.24
932014,244.24
952014,245.19
962014,243.16
972014,243.16
982014,273.92
1022014,245.19
1032014,273.92
1042014,245.19
1062014,245.19
1082014,244.24
1112014,274.48
1162014,273.92
1192014,274.48
1212014,243.16
1322014,273.92
1332014,273.92
1352014,245.19
1382014,273.92
1462014,244.24
1472014,273.92
1492014,274.48
1522014,274.48
1532014,274.48
1562014,273.92
1572014,245.19
1612014,244.24
1622014,274.48
1632014,274.48
1642014,273.92
1662014,274.48
1672014,243.95
1682014,245.19
1712014,273.92
1732014,274.48
1812014,274.48
1832014,244.24
1842014,274.48
1872014,244.24
1942014,245.19
1962014,244.24
1972014,243.16
2042014,274.48
2052014,245.19
2062014,244.24
2102014,243.16
2132014,274.48
2142014,245.19
2152014,274.48
2182014,273.92
2192014,274.48
2222014,244.24
2232014,244.24
2272014,273.92
2312014,245.19
2332014,274.48
2342014,243.16
2382014,243.16
2422014,244.24
2482014,245.19
2492014,273.92
2512014,244.24
2572014,244.24
2622014,274.48
2642014,245.19
2672014,245.19
2692014,248.11
2712014,274.48
2742014,274.48
2752014,243.16
2872014,245.19
2882014,274.48
2942014,263.48
2952014,245.19
3062014,245.19
3072014,245.19
3112014,274.48
3432014,245.19
3492014,244.24
3542014,273.92
3732014,245.19
4182014,245.19
4332014,273.92
4472014,245.19
4602014,274.48
4642014,273.92
4842014,274.48
4952014,245.19
5032014,244.24
5112014,244.24
5122014,244.24
5242014,244.24
5422014,245.19
5492014,245.19
5662014,243.16
5742014,245.19
5782014,245.19
5912014,245.19
5932014,274.48
5992014,274.48
6112014,244.24
6132014,274.48
6142014,245.19
6152014,245.12
6242014,244.24
6252014,243.16
6372014,273.92
6522014,274.48
6592014,244.24
6692014,245.19
6752014,245.19
6852014,273.92
6862014,273.92
6932014,245.19
6992014,274.45
7262014,273.92
7432014,273.92
7532014,244.24
8522014,244.24
