id.y,ap.t_2
1352014,245.19
6242014,244.24
7532014,244.24
72014,273.92
92014,273.92
102014,244.24
372014,274.48
142014,243.16
4182014,245.19
162014,243.16
182014,273.92
222014,273.92
5662014,243.16
2572014,244.24
342014,273.92
352014,244.24
2712014,274.48
6152014,245.12
4472014,245.19
5742014,245.19
232014,243.16
4952014,245.19
6142014,245.19
412014,244.24
1472014,273.92
422014,273.92
432014,244.24
452014,244.24
462014,244.24
5782014,245.19
522014,244.24
5492014,245.19
532014,274.48
322014,245.19
552014,243.16
1192014,274.48
2952014,245.19
622014,245.19
6752014,245.19
2752014,243.16
652014,273.92
2382014,243.16
5032014,244.24
712014,273.92
722014,274.48
3432014,245.19
1832014,244.24
822014,245.19
2942014,263.48
842014,245.19
4332014,273.92
862014,274.48
882014,244.24
912014,244.24
2882014,274.48
932014,244.24
952014,245.19
962014,243.16
1632014,274.48
972014,243.16
982014,273.92
1022014,245.19
1682014,245.19
3542014,273.92
1032014,273.92
1042014,243.16
5112014,244.24
5122014,244.24
1062014,245.19
1082014,244.24
1112014,274.48
1162014,273.92
5912014,245.19
6592014,244.24
7432014,273.92
1212014,243.16
6372014,273.92
5932014,274.48
1382014,273.92
7262014,273.92
3112014,274.48
1322014,273.92
6132014,274.48
3732014,245.19
1672014,243.95
3492014,244.24
6992014,274.45
1462014,244.24
1492014,274.48
1522014,274.48
1532014,274.48
5242014,244.24
1562014,273.92
1572014,245.19
1612014,244.24
1622014,274.48
1642014,273.92
6932014,245.19
1662014,274.48
1712014,273.92
1732014,274.48
1812014,274.48
1842014,274.48
2692014,248.11
1872014,244.24
6112014,244.24
1942014,274.48
2102014,244.24
1962014,244.24
1972014,243.16
6692014,245.19
6852014,273.92
2042014,274.48
2052014,274.48
2062014,244.24
5992014,274.48
562014,243.16
2742014,274.48
6522014,274.48
2132014,274.48
2142014,245.19
2182014,273.92
2192014,274.48
2222014,244.24
2232014,244.24
632014,273.92
2272014,273.92
2312014,245.19
4842014,274.48
2152014,274.48
4602014,274.48
2332014,274.48
2342014,244.24
2872014,245.19
2422014,244.24
3062014,245.19
2482014,245.19
2492014,273.92
4642014,273.92
2512014,244.24
3072014,245.19
5422014,245.19
6252014,243.16
6862014,273.92
1332014,273.92
2622014,274.48
2642014,245.19
2672014,243.16
8522014,244.24
