"","r_DEA_id","r_vekt_L_133","r_vekt_L_311","r_vekt_L_503","r_vekt_L_511","r_vekt_L_615","r_vekt_L_726","r_normkostandelX133","r_normkostandelX311","r_normkostandelX503","r_normkostandelX511","r_normkostandelX615","r_normkostandelX726","r_kostbidrag_X133","r_kostbidrag_X311","r_kostbidrag_X503","r_kostbidrag_X511","r_kostbidrag_X615","r_kostbidrag_X726"
"7",7,0,0,0,0,0.000236738381350389,0.118211080989479,0,0,0,0,0.000179787630928857,0.999820212369071,0,0,0,0,0.877115702903192,4877.74383486888
"9",9,0.572253183893782,0,0,0,0,0.0420303121105718,0.218363376924706,0,0,0,0,0.781636623075294,8270.20301363293,0,0,0,0,29603.3778500875
"14",14,0,0,0,0,0.0509580887521574,0,0,0,0,0,1,0,0,0,0,0,452.405911941653,0
"37",37,0.322564614053709,0,0,0,0,0.169084597447839,0.798611491995728,0,0,0,0,0.201388508004272,4133.02039987017,0,0,0,0,1042.23745866848
"56",56,0.105401811556018,0,0,0,0,0.215376485976157,0.7380885894205,0,0,0,0,0.2619114105795,6118.04815176906,0,0,0,0,2170.99497863966
"62",62,0,0,0,0,0.0562985548789955,0,0,0,0,0,1,0,0,0,0,0,9529.8252800322,0
"63",63,0,0.305730758812831,0,0,0,0,0,1,0,0,0,0,0,3140.16062376659,0,0,0,0
"65",65,0.378556289272837,0.0741956080550421,0,0,0.0326474984150228,0.0122802301536836,0.143289645036839,0.0971236853097761,0,0,0.386267660871711,0.373319008781675,1402.55105175586,950.668326009254,0,0,3780.87414394537,3654.1298449904
"71",71,1.63367461166949,0.194531858207085,0,0,0,0.372958962732466,0.964714980151757,0.0308263748223312,0,0,0,0.00445864502591193,353371.986877168,11291.6017096303,0,0,0,1633.18729780547
"86",86,0,0,0,0,0.161628979103714,0,0,0,0,0,1,0,0,0,0,0,6756.41458449347,0
"93",93,0,0,0,0,0.0485115162359301,0,0,0,0,0,1,0,0,0,0,0,1395.28822997782,0
"103",103,0.530875266166087,0,0,0,0,0,1,0,0,0,0,0,9904.00896559453,0,0,0,0,0
"132",132,0.500164173543563,0,0,0,0,0.154969847711755,0.986327869462711,0,0,0,0,0.0136721305372886,84664.2901482396,0,0,0,0,1173.58665672112
"133",133,1.00190518883783,0,0,0,0,0,1,0,0,0,0,0,6929.17628600247,0,0,0,0,0
"138",138,0.54888116851582,0,0,0,0,0,1,0,0,0,0,0,63565.3792446487,0,0,0,0,0
"146",146,0,0.0575493545372025,0.153092236666855,0.0267536491306574,0,0,0,0.356658528279249,0.512633901166879,0.130707570553872,0,0,0,1073.64075824605,1543.1697456019,393.465917764578,0,0
"152",152,0.167275830003538,0,0,0,0,0.0261329724532481,0.9205259454355,0,0,0,0,0.0794740545645001,6992.46424580788,0,0,0,0,603.697796642484
"164",164,1.03872455281239,0.0435267139955751,0,0.0114269468247154,0,0,0.984504410267851,0.00991994017564826,0,0.00557564955650053,0,0,29875.7955879899,301.030753993398,0,169.198801633561,0,0
"197",197,0.104881533431464,0,0,0,0,0.117168415579619,0.0180357190404001,0,0,0,0,0.9819642809596,1515.74792115152,0,0,0,0,82525.6988188555
"206",206,0.0280336989989923,0,0,0,0,0.0502037510806477,0.0839559795022206,0,0,0,0,0.916044020497779,287.93412241865,0,0,0,0,3141.65033512477
"210",210,0.146845052993068,0.243659300931484,0.167381846518333,0,0.136000606579839,0,0.129625631780523,0.701715055298705,0.111579639496074,0,0.0570796734246976,0,1881.52566400018,10185.4460975379,1619.58674691139,0,828.515695284381,0
"215",215,0.293063212567141,0.157383382573291,2.1987414898164,0,0.216620574852193,0,0.0852395806259417,0.0226826159650158,0.871827412094979,0,0.0202503913140638,0,17010.8541734597,4526.66084957301,173986.414089172,0,4041.27344444252,0
"227",227,0,0.629826036848581,0.740192921548371,0.0943140546547798,0,0,0,0.215766684682242,0.73990175123212,0.0443315640856385,0,0,0,9102.24588453569,31213.1953087733,1870.15338974963,0,0
"249",249,0.736048393811696,0,0,0,0,0.335290053716807,0.613905072012035,0,0,0,0,0.386094927987965,3413.05640210483,0,0,0,0,2146.526923895
"251",251,0,0,0,0,0.00374413474873739,0.145423170037344,0,0,0,0,0.00992093451635525,0.990079065483645,0,0,0,0,433.604501116528,43272.4093226523
"257",257,0,0,0,0,0.0565359089290775,0,0,0,0,0,1,0,0,0,0,0,843.685368948624,0
"269",269,0.521955372157345,0,0,0,0,0.381921010186433,0.556333800098507,0,0,0,0,0.443666199901493,4633.91979401291,0,0,0,0,3695.46769456393
"271",271,0.302221057403035,0,0,0,0,0.00127522786782186,0.948039788526698,0,0,0,0,0.0519602114733019,1841.13068169929,0,0,0,0,100.908781180744
"275",275,0,0,0,0,0.0934079477090783,0,0,0,0,0,1,0,0,0,0,0,1349.9316602916,0
"288",288,0.819716836639396,0,0,0,0,0,1,0,0,0,0,0,138755.928088461,0,0,0,0,0
"295",295,0.0414209218645417,0,0.194964442346034,0,0.00447815763202022,0,0.0228363796118731,0,0.972589551387768,0,0.00457406900035872,0,286.46709561517,0,12200.4848731301,0,57.3786337390751,0
"311",311,0,0.999903257656158,0.00330702697341661,0,0.0768338311818051,0,0,0.576204365040923,0.00192823087812032,0,0.421867404080956,0,0,6091.41064564132,20.38451426414,0,4459.81973094788,0
"354",354,0,0.858414270788995,0,0,0,0,0,1,0,0,0,0,0,16014.5766358395,0,0,0,0
"433",433,0,0.00800990597066904,0,0,0.140829270431458,0,0,0.67493163805071,0,0,0.32506836194929,0,0,1355.86081337306,0,0,653.025326990669,0
"460",460,0.118110785789753,0.901459896431033,0.740511445189008,0.100507503834308,0,0,0.214185420878742,0.393081550733407,0.298901923830707,0.0938311045571432,0,0,3397.10242088486,6234.49664371702,4740.75427210003,1488.2146092746,0,0
"464",464,0.207246360643093,0.00832622951399605,0,0,0,0.0590028464967878,0.0658021978511798,0.0211844027063433,0,0,0,0.913013399442477,2995.12440401398,964.252313786369,0,0,0,41557.7108844686
"503",503,0,0.000259666834825736,0.991123584639681,0,0.0347217195028982,0,0,0.000832929444058763,0.932906990462067,0,0.0662600800938738,0,0,3.87500817610446,4340.13017713716,0,308.25942574673,0
"511",511,0,0,0,1.04586694453927,0,0,0,0,0,1,0,0,0,0,0,42551.09663858,0,0
"566",566,0,1.52231951015112,1.49326161217655,0.556664547328663,0,0,0,0.253164899618057,0.683212279300462,0.063622821081481,0,0,0,43784.9537509665,118161.79137153,11003.5881070457,0,0
"574",574,0,0.42313198932013,0,0,1.38647178026395,0,0,0.0253941739480881,0,0,0.974605826051912,0,0,6115.10350965452,0,0,234692.237660619,0
"591",591,0,0,0,0,0.044239143334459,0,0,0,0,0,1,0,0,0,0,0,305.957915301118,0
"611",611,0,0.0831946755407654,0,0,1.8732142643131,0,0,0.0048897627166806,0,0,0.995110237283319,0,0,1065.97337770383,0,0,216935.070735835,0
"615",615,0,0,0,0,1.09592755224071,0,0,0,0,0,1,0,0,0,0,0,16354.5268620881,0
"624",624,0,0,0,0,1.39199934271186,0,0,0,0,0,1,0,0,0,0,0,58188.3565240413,0
"625",625,0.0955994923408035,0,0,0,0,0.157358426393468,0.0446819673290928,0,0,0,0,0.955318032670907,582.392107340175,0,0,0,0,12451.7722805151
"637",637,0,0.0508735188719657,0.135882621520153,0.0154942261836283,0,0,0,0.0311480116003839,0.926563213611006,0.04228877478861,0,0,0,188.486387420633,5606.92461178608,255.902639648805,0,0
"669",669,0,0,0,0,0.0333391150345537,0,0,0,0,0,1,0,0,0,0,0,342.426050519901,0
"675",675,0,0,14.5326377648307,0,0.421340971456202,0,0,0,0.994098697249838,0,0.00590130275016159,0,0,0,909423.406047575,0,5398.64186726832,0
"699",699,0.964312908340608,0,0,0,0,1.15518082737836,0.916532468635091,0,0,0,0,0.0834675313649088,111676.113602018,0,0,0,0,10170.2120042391
"726",726,0,0.013475847161443,0,0,0.027228533845024,0.939116028287907,0,0.00454965782994914,0,0,0.0391368264174861,0.956313515752565,0,251.40540464388,0,0,2162.62630064103,52844.0589117605
"753",753,0,0,0.121082191135899,0,0.0751037226779384,0,0,0,0.987661810607619,0,0.0123381893923812,0,0,0,27877.6004405559,0,348.2559620576,0
