"","id","fha_ld_TOTXDEA","fha_ld_sub","fha_ld_hv","fha_ld_ss"
"226",7,104510.53077068,13814,880.2,950.2
"121",9,40732.7489956805,3691.4,316.2,230.6
"186",16,44288.8247133607,4687.6,161.8,191.6
"266",22,15569.4584940554,1215,148.2,119.2
"361",32,441050.26210441,101664.2,1748.4,3129.8
"206",35,32111.6985277369,3931.4,281.8,287.4
"146",37,99904.9126069795,14716.4,981.8,1082.6
"31",42,64958.0940137068,8266.6,422,373
"176",43,61139.9276928648,8868.6,269.8,332.8
"171",55,34217.3343542051,3405.8,188,241.4
"81",63,65925.549223316,5701.2,375.4,347.4
"376",65,75733.8890987597,8134.6,520.6,478.6
"61",71,410805.348651396,46679.4,3156.2,3114.2
"71",82,42508.2794938176,7659.4,172.4,310.8
"156",84,40061.7119935332,6843.8,261.4,336.6
"336",86,215283.275264511,32872.6,1388,1633.2
"11",88,51968.7740912227,9290.8,301.6,417.2
"321",91,47307.4902478102,9545.4,221.8,322.4
"341",93,61812.7362072129,10090.2,348.6,386.2
"6",95,23799.0978299843,3378,155.6,202
"161",96,62315.0478990104,7650.6,256.2,390
"196",104,32765.6465006301,3955.8,257.2,272.4
"96",116,46937.5754114213,4914.4,315.8,326.2
"141",132,76299.3568350639,6868,852.4,581.4
"126",133,79101.358348644,9370,1005.8,717
"151",135,93026.6543888711,11709.2,1069.8,996.2
"291",157,34799.2157022322,4712.4,291.8,401.4
"216",161,35691.4542821488,4994.2,298.2,240.8
"251",162,50647.54604525,5389.4,345.4,395
"181",164,125218.742083974,10625.6,1262.2,846.6
"221",168,20110.5212079619,2684.6,136.4,176
"106",173,38760.3258777436,6657.4,361.2,388.8
"111",194,19685.5362161591,2142,178.2,208
"201",197,138678.929127235,13397,860,928.6
"231",213,34711.3231097345,4900.6,189.4,233
"406",214,48409.055713084,3287.8,265.8,322.2
"326",215,878254.753251742,180986,4839.6,5874.8
"211",223,64854.8317664718,7916.4,386.6,420.8
"331",227,897281.046824855,122253.2,6058.2,6314.8
"101",238,66086.884289095,7115.2,507.4,460.2
"281",242,20994.3602524415,2343.2,119.4,140.8
"1",248,28788.9476372826,2565,210.4,242.8
"301",249,177205.461950058,17392,1381,1224.4
"246",251,146957.041982337,15199.6,1185,1004.4
"86",257,103049.137344596,15440.6,778,848.6
"351",264,59699.6556847406,10971.4,370.8,595
"136",267,32556.2967728837,3588.2,150.8,141.6
"21",269,800634.076438847,102966,3922.6,4912.8
"166",274,71060.4249759791,7088.4,534.2,558
"306",275,417062.932693635,58308.8,2533.2,3813.6
"46",295,143173.715380167,22310.2,990.6,1243.6
"271",306,115152.774595296,16344.4,785.2,1071.4
"241",311,187582.551769699,26845.2,1213.6,1378.6
"276",349,71732.8130511926,7811,361.4,429.6
"391",354,221804.323546798,17805.4,918.8,879.6
"386",433,314439.141696938,42560.2,1941.6,2109
"286",464,116224.918643182,12168.2,726.4,756
"36",503,556036.015443207,95422.6,2957.8,3726.2
"356",511,810039.192994992,161918.4,3042.2,4003.4
"16",542,101001.278534825,14037,800.2,958.6
"316",566,1470002.60401184,266765.6,6813,7857.8
"76",591,145524.687234745,19267.8,847,1062.2
"191",599,43894.9697192446,5031,255.4,285.6
"346",611,1000761.04787476,213228,4827.6,7211
"371",613,116272.678256708,16295.4,702,998.8
"381",624,1617977.19858536,312176.4,8319,12201.2
"91",625,103632.11896212,12552.2,451.8,606.4
"236",659,75066.5040164265,11352.4,464.6,638.4
"366",675,4277080.92138826,973361.2,20584.4,30304.4
"401",699,647952.394322717,90449.8,5410.6,7116.4
"131",903,157812.941845996,24637,1269.4,1539.8
