"","d_tilDEA$id","x.snitt.d","sf_d_ab","sf_d_hs","sf_d_ns","x.faktisk.d","d_ab","d_hs","d_ns"
"8",7,75355,11833,828,867,78777,12077,846,869
"16",9,25924,3612,269,220,23086,3567,282,220
"32",14,38488,12840,223,436,41450,13374,220,459
"40",16,31654,3822,137,170,31443,4030,139,174
"48",18,20674,2758,287,229,20718,2764,289,230
"56",22,11844,1188,140,107,10756,1191,141,109
"64",32,131862,38858,664,1224,138832,40187,669,1229
"72",35,23354,3454,265,278,22985,3533,267,277
"80",37,74422,13832,1004,1053,75876,13997,1018,1060
"88",41,13268,1849,99,132,14843,1930,100,132
"96",42,39674,6430,267,252,38873,6529,267,249
"104",43,44137,7536,242,300,46287,7794,243,305
"112",45,21743,2244,124,144,24099,2340,140,146
"120",46,14677,1961,77,103,16163,1986,76,103
"128",52,11122,1100,95,85,11802,1135,105,94
"136",53,44528,7804,422,520,43105,7989,434,518
"144",55,29615,3013,184,231,29027,3069,186,234
"152",56,120739,14866,1127,1073,121869,15224,1138,1084
"160",62,79695,15866,674,1169,78583,16059,694,1163
"168",63,35888,5314,352,303,40725,5381,358,306
"176",65,56277,7558,513,441,57896,7699,508,449
"184",71,327261,43798,3004,3007,338773,44474,3038,3015
"192",72,32133,4333,304,323,35044,4433,314,332
"200",82,29787,7003,156,294,31787,7043,162,296
"208",84,32936,5789,250,317,30952,5999,255,317
"216",86,129333,25752,1112,1379,129531,26043,1110,1393
"224",88,39279,7943,286,381,39629,8383,289,393
"232",91,32329,7697,200,297,32080,8063,206,304
"240",93,50258,9327,320,384,50076,9523,323,395
"248",95,13250,2866,138,176,13714,2925,141,180
"256",96,41371,6949,239,353,43142,7122,234,359
"264",97,50884,6982,329,410,52243,7092,333,399
"280",102,54981,11528,278,611,51690,11825,278,613
"288",103,43406,3725,497,342,42734,3848,501,350
"296",104,24693,3647,249,245,24141,3712,253,250
"304",106,17088,1846,136,126,23090,1859,149,129
"320",116,37476,4665,302,311,40229,4829,310,312
"328",119,32088,5402,392,424,33839,5508,396,419
"344",132,50822,6508,813,522,51486,6613,818,528
"352",133,63932,8625,970,681,67591,8746,972,689
"360",135,73814,10492,1003,929,77293,10627,1010,947
"368",138,21091,1819,227,132,21255,1852,229,134
"376",146,33571,6028,235,226,34339,6090,243,230
"384",147,11988,1387,107,110,11458,1393,108,110
"392",149,34271,6545,293,412,34890,6794,298,427
"408",153,33001,6813,263,327,33985,6917,256,333
"424",157,26789,4313,270,367,28363,4343,271,366
"432",161,29201,3765,323,207,28508,3974,315,223
"440",162,40897,5032,329,371,40420,5102,357,373
"448",163,28358,3690,336,305,30742,3832,339,323
"456",164,52292,4278,504,281,52516,4376,507,283
"464",166,21738,3051,184,244,18502,3164,185,245
"480",168,14505,1832,113,143,13737,1952,115,148
"488",171,51766,4229,520,319,53511,4281,522,316
"496",173,29871,5950,351,326,30942,6059,344,336
"504",181,10173,1027,57,59,10270,1036,58,60
"512",183,16241,2276,125,140,17113,2421,135,144
"520",184,22960,2742,221,210,24109,2836,226,218
"536",194,20487,2006,180,197,19794,2031,180,201
"544",196,28972,3643,200,237,31442,3755,207,242
"552",197,63686,8378,495,550,62350,8643,498,556
"560",204,24920,3176,181,213,22239,3273,188,213
"568",205,32784,4394,260,339,32288,4493,266,346
"576",206,36493,3731,341,322,34107,3815,346,344
"584",210,47187,8812,190,301,45926,9025,201,309
"592",213,23075,4494,169,221,22694,4512,190,223
"600",214,27601,2782,217,276,27886,2860,223,281
"608",215,509144,134433,3170,4048,459422,139750,3175,4030
"616",218,16405,1237,117,95,19336,1255,116,97
"632",223,54076,7225,380,401,55708,7325,390,418
"640",227,358582,69519,3933,4151,364800,70644,3946,4118
"648",231,17982,3183,189,297,17577,3212,190,300
"656",234,28506,3110,174,175,30918,3165,176,177
"664",238,48498,6437,491,472,52212,6536,450,439
"672",242,15900,2006,107,123,14561,2044,110,130
"680",248,19574,2174,166,206,19821,2251,168,201
"688",249,130635,16199,1259,1129,130024,16472,1290,1159
"696",251,96218,13323,1051,909,97611,13582,1081,921
"704",257,85661,13631,714,794,88060,14055,723,799
"712",262,21812,4742,173,277,21745,4921,174,285
"720",264,53794,9183,286,504,47025,9337,301,513
"728",267,24885,3512,146,136,25424,3585,146,135
"736",269,200913,23605,1501,1527,213497,23865,1509,1526
"752",274,54342,6411,518,546,55696,6527,545,554
"760",275,121674,22270,1114,1587,131476,22918,1137,1632
"792",295,90604,17542,813,1030,90520,18079,850,1065
"800",306,80775,13363,662,943,77958,13753,685,962
"816",311,143561,25369,1141,1294,147381,25748,1185,1312
"824",343,25030,3697,220,322,25635,3795,222,331
"832",349,59100,7477,350,404,56333,7473,349,411
"840",354,140079,16036,905,829,153675,16217,927,830
"848",373,19658,2020,172,177,19293,2069,171,184
"856",418,18868,1344,157,144,19955,1345,157,143
"864",433,126976,23638,1140,1155,125096,23956,1160,1159
"880",460,337230,61629,1764,2490,333103,62925,1819,2548
"888",464,79144,11530,707,692,77370,11685,728,706
"904",495,65062,10591,478,613,68723,10767,484,618
"912",503,285737,59371,1604,2163,276328,60578,1641,2193
"920",511,450865,132255,2600,3625,477021,137731,2678,3725
"936",542,76884,12845,759,899,75899,13029,765,907
"944",566,834369,184782,4834,5327,868392,189700,4868,5381
"952",574,761236,143006,6512,9501,794636,146230,6571,9648
"960",578,25135,3748,205,195,26038,3832,215,201
"968",591,76550,13012,565,777,74126,13298,574,777
"976",593,20244,2338,169,142,20897,2336,168,0
"984",599,35993,4712,230,266,36285,4776,242,275
"992",611,703725,183736,4365,6709,714166,186212,4409,6745
"1000",613,46703,8799,394,569,46901,8973,395,572
"1008",614,117719,35822,771,1407,122579,37118,776,1412
"1016",615,204058,57732,974,1694,198552,59215,976,1675
"1024",624,795999,183278,5644,7765,812921,190548,5719,7897
"1032",625,66189,10064,398,551,73186,10389,399,567
"1040",637,67130,11517,332,426,73286,12090,348,442
"1056",659,55501,10408,439,604,55924,10515,448,606
"1064",669,57244,10468,443,708,63109,10707,450,718
"1072",675,2156222,663851,11361,17631,2186915,682253,11474,17781
"1096",693,120814,19894,779,1289,134145,20887,785,1318
"1104",699,440552,82490,5183,6740,432847,84108,5177,6807
"1112",726,162045,33579,1203,1306,169445,33821,1219,1321
